YYYY MM DD hh mm WS_80mA_mean WS_80mA_min WS_80mA_max WS_80mA_stdev WS_80mB_mean WS_80mB_min WS_80mB_max WS_80mB_stdev WS_60m_mean WS_60m_min WS_60m_max WS_60m_stdev WS_40m_mean WS_40m_min WS_40m_max WS_40m_stdev WS_20m_mean WS_20m_min WS_20m_max WS_20m_stdev WD_78m_mean WD_78m_min WD_78m_max WD_78m_stdev WD_58m_mean WD_58m_min WD_58m_max WD_58m_stdev temp_80m_mean temp_80m_min temp_80m_max temp_80m_stdev temp_40m_mean temp_40m_min temp_40m_max temp_40m_stdev temp_15m_mean temp_15m_min temp_15m_max temp_15m_stdev RH_15m_mean RH_15m_min RH_15m_max RH_15m_stdev P_15m_mean P_15m_min P_15m_max P_15m_stdev Rad_80m_mean Rad_80m_min Rad_80m_max Rad_80m_stdev DENSIDAD_15m_mean DENSIDAD_15m_min DENSIDAD_15m_max DENSIDAD_15m_stdev BATERIA_mean BATERIA_min BATERIA_max BATERIA_stdev 
    Height 80 80 80 80 80 80 80 80 60 60 60 60 40 40 40 40 20 20 20 20 78 78 78 78 58 58 58 58 80 80 80 80 40 40 40 40 15 15 15 15 15 15 15 15 15 15 15 15 80 80 80 80 15 15 15 15 15 15 15 15 
    Units m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s m/s ° ° ° ° ° ° ° ° °C °C °C °C °C °C °C °C °C °C °C °C % % % % hPa hPa hPa hPa W/m2 W/m2 W/m2 W/m2 kg/m^3 kg/m^3 kg/m^3 kg/m^3 V V V V 
2017 11 01 00 00 7.9980E+00 5.7843E+00 9.8262E+00 8.1147E-01 8.0441E+00 6.1043E+00 9.5239E+00 7.9147E-01 7.0153E+00 4.8624E+00 8.9068E+00 9.1963E-01 6.0012E+00 3.9260E+00 8.2752E+00 8.9967E-01 4.9511E+00 2.6832E+00 7.0361E+00 8.0715E-01 3.1790E+02 NaN NaN 4.5610E+00 3.1290E+02 NaN NaN 6.0170E+00 2.4260E+01 2.4160E+01 2.4370E+01 3.6000E-02 2.4170E+01 2.4090E+01 2.4230E+01 3.5000E-02 2.4020E+01 2.3960E+01 2.4090E+01 2.8000E-02 8.4100E+01 8.4000E+01 8.4300E+01 6.2000E-02 1.0000E+03 NaN NaN 9.1000E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 1.9830E+00 1.9740E+00 1.9920E+00 3.0000E-03 1.2850E+01 NaN NaN NaN 
2017 11 01 00 10 7.5565E+00 5.4734E+00 8.8934E+00 7.1261E-01 7.5467E+00 5.7934E+00 9.2130E+00 6.8951E-01 6.7975E+00 5.4846E+00 8.2846E+00 7.2674E-01 5.6346E+00 3.9260E+00 7.0326E+00 6.6916E-01 4.7894E+00 2.9941E+00 6.7252E+00 7.7481E-01 3.2390E+02 NaN NaN 4.3810E+00 3.1970E+02 NaN NaN 5.5730E+00 2.3990E+01 2.3960E+01 2.4230E+01 4.2000E-02 2.3900E+01 2.3890E+01 2.4160E+01 3.3000E-02 2.3760E+01 2.3690E+01 2.4030E+01 2.8000E-02 8.4200E+01 8.3900E+01 8.4500E+01 1.3000E-01 1.0000E+03 NaN NaN 6.9000E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 2.0080E+00 1.9830E+00 2.0140E+00 4.0000E-03 1.2690E+01 NaN NaN NaN 
2017 11 01 00 20 7.5254E+00 5.7843E+00 8.8934E+00 6.3488E-01 7.4908E+00 5.7934E+00 8.9021E+00 6.3107E-01 6.6171E+00 5.1735E+00 8.5957E+00 7.4479E-01 5.7340E+00 3.9260E+00 7.9646E+00 7.6857E-01 4.7602E+00 3.3051E+00 7.3470E+00 7.1574E-01 3.2570E+02 NaN NaN 3.7020E+00 3.2090E+02 NaN NaN 4.6730E+00 2.4160E+01 2.4030E+01 2.4230E+01 3.4000E-02 2.4090E+01 2.4030E+01 2.4160E+01 2.8000E-02 2.3950E+01 2.3890E+01 2.4030E+01 2.8000E-02 8.4700E+01 8.4400E+01 8.5000E+01 1.6600E-01 1.0000E+03 NaN NaN 9.1000E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 2.0040E+00 1.9920E+00 2.0170E+00 6.0000E-03 1.2830E+01 NaN NaN NaN 
2017 11 01 00 30 6.9534E+00 5.1625E+00 7.9607E+00 6.1436E-01 6.9436E+00 5.1717E+00 7.9695E+00 5.9687E-01 6.1193E+00 4.2402E+00 7.6624E+00 6.7261E-01 5.2929E+00 3.6153E+00 7.0326E+00 7.0582E-01 4.5873E+00 3.3051E+00 6.1034E+00 6.1686E-01 3.2710E+02 NaN NaN 3.7040E+00 3.2150E+02 NaN NaN 4.3770E+00 2.4040E+01 2.3960E+01 2.4160E+01 3.6000E-02 2.4000E+01 2.3890E+01 2.4090E+01 4.4000E-02 2.3870E+01 2.3750E+01 2.3960E+01 3.8000E-02 8.5200E+01 8.4900E+01 8.5500E+01 1.5300E-01 1.0000E+03 NaN NaN 8.1000E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 2.0240E+00 2.0080E+00 2.0390E+00 6.0000E-03 1.2840E+01 NaN NaN NaN 
2017 11 01 00 40 6.9658E+00 5.7843E+00 7.9607E+00 4.9746E-01 6.9685E+00 5.4826E+00 7.9695E+00 5.1667E-01 6.2437E+00 4.5513E+00 7.3513E+00 5.4817E-01 5.3675E+00 3.9260E+00 6.7219E+00 5.8528E-01 4.5798E+00 2.9941E+00 5.7924E+00 6.0505E-01 3.2670E+02 NaN NaN 3.7860E+00 3.2220E+02 NaN NaN 4.9960E+00 2.3940E+01 2.3820E+01 2.4030E+01 4.3000E-02 2.3900E+01 2.3820E+01 2.4030E+01 3.9000E-02 2.3770E+01 2.3690E+01 2.3820E+01 3.5000E-02 8.5700E+01 8.5400E+01 8.5800E+01 9.5000E-02 1.0000E+03 NaN NaN 1.6000E-01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 2.0440E+00 2.0330E+00 2.0550E+00 5.0000E-03 1.2840E+01 NaN NaN NaN 
2017 11 01 00 50 6.9844E+00 4.8516E+00 8.8934E+00 6.1685E-01 6.9872E+00 5.1717E+00 8.5913E+00 6.0371E-01 6.2811E+00 4.2402E+00 7.6624E+00 6.2657E-01 5.5166E+00 3.9260E+00 7.3433E+00 6.2132E-01 4.6806E+00 3.6160E+00 6.4143E+00 5.5282E-01 3.3000E+02 NaN NaN 3.2910E+00 3.2610E+02 NaN NaN 3.9340E+00 2.3860E+01 2.3750E+01 2.3960E+01 3.7000E-02 2.3810E+01 2.3750E+01 2.3890E+01 3.5000E-02 2.3690E+01 2.3620E+01 2.3750E+01 3.8000E-02 8.6000E+01 8.5800E+01 8.6300E+01 1.2200E-01 1.0000E+03 NaN NaN 8.9000E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 2.0600E+00 2.0490E+00 2.0730E+00 6.0000E-03 1.2830E+01 NaN NaN NaN 
2017 11 01 01 00 7.4135E+00 5.7843E+00 8.5825E+00 5.5342E-01 7.4162E+00 5.7934E+00 8.5913E+00 5.4154E-01 6.6606E+00 5.1735E+00 8.2846E+00 6.1910E-01 5.8521E+00 4.2367E+00 7.3433E+00 6.0330E-01 5.1613E+00 2.9941E+00 6.7252E+00 6.2308E-01 3.2690E+02 NaN NaN 4.1150E+00 3.2220E+02 NaN NaN 4.6340E+00 2.3790E+01 2.3690E+01 2.3890E+01 3.6000E-02 2.3740E+01 2.3620E+01 2.3820E+01 4.0000E-02 2.3610E+01 2.3480E+01 2.3690E+01 3.5000E-02 8.6400E+01 8.6100E+01 8.6600E+01 1.0300E-01 1.0000E+03 NaN NaN 7.3000E-02 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 2.0760E+00 2.0620E+00 2.0890E+00 5.0000E-03 1.2830E+01 NaN NaN NaN 
2017 11 01 01 10 8.2592E+00 7.0280E+00 9.8262E+00 6.6659E-01 8.2182E+00 6.7260E+00 9.5239E+00 6.4723E-01 7.2081E+00 5.1735E+00 9.2179E+00 7.6905E-01 6.0261E+00 3.9260E+00 7.9646E+00 8.2139E-01 4.8920E+00 3.3051E+00 6.4143E+00 7.2071E-01 3.2310E+02 NaN NaN 3.2310E+00 3.1850E+02 NaN NaN 4.1660E+00 2.3770E+01 2.3690E+01 2.3820E+01 3.5000E-02 2.3640E+01 2.3550E+01 2.3690E+01 3.4000E-02 2.3500E+01 2.3410E+01 2.3620E+01 3.6000E-02 8.6800E+01 8.6400E+01 8.7000E+01 1.1400E-01 1.0000E+03 NaN NaN 1.5400E-01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 2.0960E+00 2.0780E+00 2.1090E+00 6.0000E-03 1.2830E+01 NaN NaN NaN 
